Date,Alsace,Aquitaine,Auvergne,Basse-Normandie,Bourgogne,Bretagne,Centre,Champagne-Ardenne,Corse,Franche-Comté,Haute-Normandie,Languedoc-Roussillon,Limousin,Lorraine,Midi-Pyrénées,Nord-Pas-de-Calais,Pays-de-la-Loire,Picardie,Poitou-Charentes,Provence-Alpes-Côte-d'Azur,Ile-de-France,Rhône-Alpes
198444,1828,768,462,-,-,0,369,-,-,0,0,0,-,-,174,-,0,-,3201,-,3464,5957
198445,1908,988,330,-,1631,0,1292,422,-,500,132,329,-,-,3661,12812,272,2983,5941,10354,12821,10430
198446,2421,2198,330,-,4381,0,1034,215,-,534,496,1007,-,-,1564,3094,0,1389,9597,1594,4759,8173
198447,680,3503,330,-,3246,665,657,1050,-,652,614,896,-,0,142,3828,337,2086,3656,1811,3907,7541
198448,727,3209,0,-,3419,1140,644,889,-,596,0,651,-,0,177,8631,530,1341,3656,4363,20875,6733
198449,1680,1064,440,571,3862,858,2255,2922,-,1409,0,1052,-,0,1669,10651,145,1729,3473,5398,15615,8349
198450,2804,2163,748,500,6623,1589,1428,159,-,1276,0,811,-,300,1230,23999,190,1502,2925,6712,16138,12529
198451,638,739,4000,70,5959,1663,1528,1077,-,905,0,397,-,310,1055,17115,221,1381,2488,5008,8636,12196
198452,2366,803,1575,0,3065,2043,722,527,-,729,0,999,-,176,4232,7278,95,1944,710,6139,12589,1646
198501,1515,2648,1235,0,5603,952,1083,410,-,416,0,1526,-,300,3645,-,0,1472,1372,6452,4116,10365
198502,1648,8095,2011,419,4006,0,1082,930,-,1029,1112,2230,-,357,2767,0,0,4243,-,4864,18175,16859
198503,1929,9306,6256,314,4844,12482,2320,1250,-,1134,719,3053,-,748,3370,0,0,11614,9188,6440,55092,10590
198504,7063,26754,5614,786,7253,29536,11171,2073,0,10971,3532,10373,-,1944,5247,0,10423,10491,9197,13635,140530,20261
198505,13599,66531,8697,3380,9513,31383,13356,3002,0,11369,4129,14112,-,15726,5299,43226,25917,9681,8682,20121,154954,31058
198506,12604,69108,8808,2059,8990,20847,13331,5231,295,16222,-,20107,-,8690,10306,33332,6579,2730,8683,27518,84833,34739
198507,6918,57488,14483,1512,11378,14079,14341,1794,442,10957,0,21579,-,12875,11732,29890,29066,1424,4913,22410,87791,24515
198508,5562,20538,9325,2772,11682,11970,10591,5146,608,10002,0,22436,-,12281,6765,20497,25584,5865,5598,16157,46796,21849
198509,9042,3702,9333,3509,21532,8212,17287,1745,405,13939,2589,20649,-,1495,9774,11101,31385,6089,5026,20386,38510,29170
198510,10339,1358,5919,2162,19498,5150,28018,4693,346,18347,4587,13842,-,3414,13011,13308,14435,6907,3199,18697,30819,32464
198511,14751,2649,4595,1143,10898,9724,16937,1913,564,8099,3443,11192,-,2108,9302,25417,12124,7403,-,10646,28332,20622
198512,9364,9508,4531,0,10187,7925,14356,2909,564,5596,3914,10684,-,1678,10854,5612,10629,3239,-,10980,29489,17341
198513,7068,7560,594,360,7206,7291,7047,5838,-,4270,3304,6909,-,1445,11838,8241,5367,4099,-,11527,24906,12090
198514,2521,2107,3763,360,4810,4168,2106,-,-,963,2826,1650,0,95,9774,5457,1118,3480,-,10549,26266,4147
198515,1593,2426,2711,0,2372,2676,963,819,-,2788,2565,824,0,1365,3568,5457,818,2247,-,1313,8132,2889
198516,1074,1509,1888,0,5012,860,429,748,0,1689,3668,69,0,381,4276,10504,1300,1582,-,633,2432,2431
198517,1236,1657,1481,0,404,0,418,319,0,531,688,411,78,218,616,0,753,1644,1372,3053,5444,2311
198518,2311,2470,1363,-,1176,0,889,658,0,1236,250,223,619,656,744,3232,943,2327,1334,3161,4747,3151
198519,804,261,1693,-,2612,2675,886,809,0,1227,584,474,382,373,286,4943,1163,2895,1335,381,7565,2936
198520,866,689,658,0,2120,1678,591,440,0,267,1184,1048,0,442,564,3635,34,1016,-,0,5353,2212
198521,510,0,657,0,2528,0,238,366,129,635,5319,1064,0,0,1724,2554,2965,842,-,0,2930,1843
198522,403,472,0,0,1880,0,0,102,0,743,5044,588,0,0,786,6803,260,504,-,0,3347,735
198523,624,386,1154,0,765,0,0,45,0,486,3996,206,0,0,476,2304,233,971,-,1135,2122,402
