Date,SPDB,GBIA,DFA,CWTC,BC
2011/9/7,9.29,7.24,3.83,9.17,5.18
2011/9/8,9.26,7.51,3.8,9.17,5.2
2011/9/9,9.3,7.47,3.8,9.18,5.18
2011/9/13,9.15,7.28,3.75,9.23,5.09
2011/9/14,9.1,7.25,3.78,9.17,5.12
2011/9/15,8.95,7.22,3.79,9.18,5.13
2011/9/16,8.98,7.25,3.79,9.14,5.11
2011/9/19,8.81,7.09,3.71,9.01,5.02
2011/9/20,8.86,7.15,3.73,9,5.05
2011/9/21,9.09,7.3,3.81,9.16,5.19
2011/9/22,8.82,7.11,3.72,8.99,5.05
2011/9/23,8.73,7.2,3.69,9.02,5.1
2011/9/26,8.44,7.19,3.67,8.85,5.01
2011/9/27,8.52,7.25,3.73,8.8,5.06
2011/9/28,8.43,7.16,3.65,8.72,5.01
2011/9/29,8.45,7.14,3.58,8.8,4.93
2011/9/30,8.54,7.13,3.63,9.07,4.91
2011/10/10,8.42,7.08,3.65,9.01,4.89
2011/10/11,8.57,7.13,3.66,9.06,4.96
2011/10/12,8.85,7.28,3.76,9.25,5.09
2011/10/13,8.87,7.37,3.78,9.24,5.18
2011/10/14,8.83,7.34,3.82,9.27,5.14
2011/10/17,8.92,7.32,3.82,9.29,5.13
2011/10/18,8.78,7.18,3.74,8.99,4.93
2011/10/19,8.84,7.11,3.72,9.27,4.92
2011/10/20,8.73,6.98,3.63,9.17,4.86
2011/10/21,8.89,6.96,3.63,9.16,4.9
2011/10/24,9.16,7.1,3.69,9.67,4.97
2011/10/25,9.16,7.17,3.75,9.84,5.13
2011/10/26,9.18,7.24,3.8,9.8,5.13
2011/10/27,9.26,7.28,3.81,9.81,5.25
2011/10/28,9.38,7.31,3.84,9.9,5.54
2011/10/31,9.21,7.29,3.82,10.11,5.56
2011/11/1,9.18,7.29,3.8,10.01,5.45
2011/11/3,9.24,7.41,3.83,9.84,5.58
2011/11/4,9.31,7.4,3.85,9.94,5.58
2011/11/7,9.18,7.31,3.82,10.07,5.59
2011/11/8,9.21,7.28,3.79,9.8,5.49
2011/11/9,9.27,7.36,3.81,9.8,5.58
2011/11/10,9.05,7.26,3.73,9.74,5.68
2011/11/11,9.08,7.26,3.73,9.75,5.67
2011/11/14,9.21,7.34,3.79,9.91,5.74
2011/11/15,9.18,7.38,3.78,9.88,5.93
2011/11/16,8.92,7.2,3.69,10.17,5.82
2011/11/17,8.86,7.13,3.7,9.99,5.8
2011/11/18,8.8,7.09,3.63,9.99,5.55
2011/11/21,8.74,7.11,3.65,9.96,5.61
2011/11/22,8.75,7.09,3.63,9.91,5.61
2011/11/23,8.69,7.04,3.59,9.76,5.63
2011/11/24,8.7,7.05,3.59,9.74,5.62
2011/11/25,8.62,7.02,3.55,9.66,5.69
2011/11/28,8.6,7.06,3.55,9.71,5.81
2011/11/29,8.73,7.11,3.6,9.75,5.8
2011/11/30,8.5,6.89,3.45,9.86,5.5
2011/12/2,8.8,6.92,3.46,9.98,5.44
2011/12/5,8.8,6.85,3.35,9.72,5.41
2011/12/6,8.73,6.86,3.36,9.7,5.48
2011/12/7,8.78,6.84,3.38,9.7,5.49
