year           y    l     m      k
1975         28452 27561 121062 550000
1976         28631 27965 120743 597000
1977         28273 28124 120400 679000
1978         30477 28373 120587 884000
1979         33212 28692 119263 1086000
1980         32056 29181 117234 1269000
1981         32502 29836 114958 1335000
1982         35450 30917 113463 1513000
1983         38728 31209 114047 1660000
1984         40731 30927 112884 1740000
1985         37911 31187 108845 1776000
1986         39151 31311 110933 1931000
1987         40298 31720 111268 1999000
1988         39408 32308 110123 2141500
1989         40755 33284 112205 2357400
1990         44624 33336.4 113466 2590300
1991         43529 34186.3 112314 2805100
1992         44266 34037 110560 2930200
1993         45649 33258.2 110509 3151900
1994         44510 32690.3 109544 3317900
1995         46662 32334.5 110060 3593700
1996         50454 32260.4 110060 3827900
1997         49417 32434.9 112912 3980700
1998         51230 32626.4 113787 4083700
1999         50839 32911.8 113161 4124300
2000         46218 32732.5 108463 4146400
2001         45264  32451 106080  4253800
####y 是粮食产量，L为劳动力，m为播种面积，K为化肥
