obs	Type	TA	TB	TC	TD	TE	T6064	T6569	T7074	T7579	O6074	O7579	Mon	Acc
1	1	1	0	0	0	0	1	0	0	0	1	0	127	0
2	1	1	0	0	0	0	1	0	0	0	0	1	63	0
3	1	1	0	0	0	0	0	1	0	0	1	0	1095	3
4	1	1	0	0	0	0	0	1	0	0	0	1	1095	4
5	1	1	0	0	0	0	0	0	1	0	1	0	1512	6
6	1	1	0	0	0	0	0	0	1	0	0	1	3353	18
7	1	1	0	0	0	0	0	0	0	1	1	0	NA	NA
8	1	1	0	0	0	0	0	0	0	1	0	1	2244	11
9	2	0	1	0	0	0	1	0	0	0	1	0	44882	39
10	2	0	1	0	0	0	1	0	0	0	0	1	17176	29
11	2	0	1	0	0	0	0	1	0	0	1	0	28609	58
12	2	0	1	0	0	0	0	1	0	0	0	1	20370	53
13	2	0	1	0	0	0	0	0	1	0	1	0	7064	12
14	2	0	1	0	0	0	0	0	1	0	0	1	13099	44
15	2	0	1	0	0	0	0	0	0	1	1	0	NA	NA
16	2	0	1	0	0	0	0	0	0	1	0	1	7117	18
17	3	0	0	1	0	0	1	0	0	0	1	0	1179	1
18	3	0	0	1	0	0	1	0	0	0	0	1	552	1
19	3	0	0	1	0	0	0	1	0	0	1	0	781	0
20	3	0	0	1	0	0	0	1	0	0	0	1	676	1
21	3	0	0	1	0	0	0	0	1	0	1	0	783	6
22	3	0	0	1	0	0	0	0	1	0	0	1	1948	2
23	3	0	0	1	0	0	0	0	0	1	1	0	NA	NA
24	3	0	0	1	0	0	0	0	0	1	0	1	274	1
25	4	0	0	0	1	0	1	0	0	0	1	0	251	0
26	4	0	0	0	1	0	1	0	0	0	0	1	105	0
27	4	0	0	0	1	0	0	1	0	0	1	0	288	0
28	4	0	0	0	1	0	0	1	0	0	0	1	192	0
29	4	0	0	0	1	0	0	0	1	0	1	0	349	2
30	4	0	0	0	1	0	0	0	1	0	0	1	1208	11
31	4	0	0	0	1	0	0	0	0	1	1	0	NA	NA
32	4	0	0	0	1	0	0	0	0	1	0	1	2051	4
33	5	0	0	0	0	1	0	0	0	1	0	1	45	0
34	5	0	0	0	0	1	1	0	0	0	0	1	NA	NA
35	5	0	0	0	0	1	0	1	0	0	1	0	789	7
36	5	0	0	0	0	1	0	1	0	0	0	1	437	7
37	5	0	0	0	0	1	0	0	1	0	1	0	1157	5
38	5	0	0	0	0	1	0	0	1	0	0	1	2161	12
39	5	0	0	0	0	1	0	0	0	1	1	0	NA	NA
40	5	0	0	0	0	1	0	0	0	1	0	1	542	1
